CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Raça Cor;Sexo Trabalhador;uf;valor_remuneracao_media
64620;06;02;49;08;01;14;1187.57
64620;07;02;64;08;01;14;1183.14
47121;05;02;32;08;01;14;1221.37
41204;07;02;50;09;01;14;4425.58
47121;05;02;34;09;01;14;0
81214;07;02;55;04;01;14;1274.44
81214;07;02;51;08;01;14;1274.44
81214;05;02;37;04;01;14;1274.44
81214;07;02;62;08;01;14;1274.44
81214;05;02;36;08;01;14;0
81214;06;02;41;08;01;14;1274.44
81214;07;02;52;08;01;14;1266.3
81214;06;02;44;08;01;14;1274.44
41107;05;02;36;09;01;14;1479.29
46877;07;02;61;08;01;14;1274.98
81214;05;02;35;08;01;14;1087.1
81214;05;02;33;08;01;14;1375.34
78205;07;02;54;08;01;14;1516.34
78205;04;02;27;09;01;14;1380.48
47211;07;02;54;08;01;14;1276.84
81290;06;02;46;08;01;14;1161.26
47423;06;02;45;04;01;14;1459.95
43991;06;02;45;08;01;14;1252.73
45412;05;02;34;04;01;14;1385.68
81214;05;02;39;08;01;14;1559.71
81214;08;02;72;08;01;14;1529.33
81214;07;02;60;08;01;14;1525.27
81214;07;02;53;08;01;14;1680.61
81214;07;02;52;08;01;14;1187.39
02209;04;02;26;08;01;14;1337.22
81214;05;02;35;09;01;14;1274.44
02209;07;02;52;09;01;14;2093
81214;06;02;43;08;01;14;1434.25
02209;06;02;43;08;01;14;1652
41107;06;02;42;09;01;14;3466.67
94308;07;02;63;08;01;14;1286.12
84116;07;02;61;99;01;14;7134.43
41204;05;02;35;02;01;14;1212
46419;07;02;52;04;01;14;1296.48
41204;07;02;58;08;01;14;2235.33
49302;08;02;70;08;01;14;0
13529;04;02;28;04;01;14;0
33295;06;02;42;02;01;14;1857.62
41107;05;02;37;08;01;14;1557.11
02101;07;02;64;08;01;14;0
84116;06;02;47;99;01;14;1912
84116;07;02;55;99;01;14;1579.77
84116;06;02;48;99;01;14;1820.37
84116;05;02;32;99;01;14;1279.33
84116;05;02;39;99;01;14;1661.48
84116;06;02;43;99;01;14;1383.47
84116;07;02;54;99;01;14;1791.95
84116;06;02;48;99;01;14;1586.1
85996;08;02;65;09;01;14;1277.02
81214;07;02;59;08;01;14;0
42111;07;02;52;08;01;14;0
84116;06;02;42;99;01;14;7223.13
25128;03;02;24;09;01;14;1113.37
47849;06;02;43;02;01;14;1622.73
45111;05;02;32;09;01;14;0
46231;06;02;45;08;01;14;1494.8
84116;07;02;64;99;01;14;1441.88
47440;07;02;59;08;01;14;0
10945;05;02;34;02;01;14;0
38319;07;02;52;08;01;14;0
84116;07;02;52;99;01;14;1798.33
47598;05;02;36;09;01;14;8161.49
41204;07;02;54;08;01;14;2218.94
84116;06;02;41;08;01;14;1804.44
56112;03;02;24;08;01;14;0
42219;08;02;68;08;01;14;0
42219;06;02;49;08;01;14;1250
42219;07;02;56;08;01;14;1993.07
42219;07;02;52;08;01;14;2154.86
42219;05;02;31;08;01;14;1979.15
42219;06;02;40;08;01;14;1712.96
96017;07;02;56;09;01;14;0
47229;05;02;32;09;01;14;1242.54
01512;06;02;47;08;01;14;2775
01512;07;02;58;09;01;14;1239.15
84116;06;02;41;99;01;14;1150.91
84116;07;02;63;99;01;14;1220.45
84116;07;02;57;99;01;14;4506
84116;03;02;20;99;01;14;1212
84116;03;02;20;99;01;14;969.6
84116;06;02;43;99;01;14;3660.03
84116;07;02;53;99;01;14;6548.37
84116;07;02;56;99;01;14;1752.24
84116;08;02;72;99;01;14;1612.95
84116;08;02;74;99;01;14;3433.23
84116;07;02;60;99;01;14;1623.94
84116;06;02;45;99;01;14;1168.23
84116;07;02;62;99;01;14;1692.61
84116;06;02;48;99;01;14;1812.89
01512;07;02;54;09;01;14;2000
81214;05;02;37;08;01;14;1200
90019;04;02;27;99;01;14;1722.55
90019;06;02;44;99;01;14;1709.45
01393;07;02;50;08;01;14;1229.72
01393;05;02;32;08;01;14;1193.59
41204;07;02;56;08;01;14;2711.18
01393;05;02;33;08;01;14;3684.55
01393;04;02;27;08;01;14;1182.82
41204;07;02;54;08;01;14;2332.01
59146;07;02;63;08;01;14;1723.92
47113;04;02;28;02;01;14;1361.5
47113;06;02;47;08;01;14;1244.83
01393;06;02;44;02;01;14;1394.57
47211;04;02;25;08;01;14;1327.88
01393;05;02;35;08;01;14;1346.64
01393;06;02;41;08;01;14;1360.41
01393;07;02;55;02;01;14;5130.99
01393;07;02;54;08;01;14;1322.55
01393;04;02;28;08;01;14;1365.17
01393;07;02;54;08;01;14;1267.63
23117;07;02;53;02;01;14;2698.75
42138;07;02;60;08;01;14;1641.39
